Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-04-09,244.84,246.3,238.47,243.43,7943.71054055,1932557.6394156,243.2814777868
2015-04-08,253.71,254.96,243.06,244.58,11663.65615515,2878711.7183119,246.8104066186
2015-04-07,255.54,256.62,251.5,253.72,6010.26758151,1528033.9606692,254.23725981355
2015-04-06,260.57,262.98,254.0,255.58,5960.67763299,1535495.4731122,257.60417986939
2015-04-05,253.6,261.0,251.65,260.54,5759.36016001,1479483.3586497,256.88328521674
2015-04-04,254.19,255.85,250.76,253.7,2769.28165782,700284.50762872,252.87586968672
2015-04-03,253.22,256.67,251.23,254.19,5048.57737559,1283171.1740307,254.16490202465
2015-04-02,246.68,256.96,244.52,253.28,9806.82220308,2453663.5292014,250.19965472921
2015-04-01,243.93,246.83,239.32,246.69,6226.01646439,1513600.949151,243.10905019415
2015-03-31,247.95,248.59,238.55,244.24,8114.08955665,1977179.9642919,243.67243551945
2015-03-30,242.41,248.86,236.52,247.95,7951.74713786,1947589.0799003,244.92593214231
2015-03-29,252.91,252.96,239.96,242.0,6690.22838851,1632793.7668884,244.05650630591
2015-03-28,247.93,253.83,247.25,252.87,5685.6395593,1428455.7116795,251.23923118606
2015-03-27,249.23,250.52,245.12,247.94,6089.84638076,1509888.9452075,247.93547337709
2015-03-26,246.99,253.75,244.91,249.23,8385.93723302,2101550.4754566,250.6041265348
2015-03-25,245.29,250.0,236.4,246.94,12881.632767,3137193.3751967,243.54004123091
2015-03-24,265.98,266.52,241.84,245.0,19052.72970777,4762656.8633065,249.97241531036
2015-03-23,268.28,270.07,259.5,265.94,8658.47290411,2302945.4932332,265.97594272543
2015-03-22,260.0,272.0,259.24,267.74,5976.83852547,1583898.5077644,265.00607319649
2015-03-21,261.92,262.49,256.25,260.0,4623.89487205,1199545.5914693,259.42319725307
2015-03-20,261.97,265.27,257.0,261.96,5678.38004156,1481038.5107047,260.82060373998
2015-03-19,256.59,265.95,249.0,261.81,15017.74171871,3882043.1931444,258.4971339804
2015-03-18,282.8,284.0,249.02,256.45,21654.68207136,5786009.6250521,267.19439269461
2015-03-17,289.27,292.99,281.9,282.8,6447.41955337,1857832.0723988,288.15126067416
2015-03-16,286.79,294.26,285.78,289.27,6499.91827306,1890019.1536283,290.775833515
2015-03-15,282.36,287.75,281.42,286.75,2430.04567943,693038.73006198,285.19576233832
2015-03-14,283.25,287.69,280.46,282.01,5375.79972728,1526532.935411,283.96387753517
2015-03-13,295.66,295.66,282.99,283.25,9610.54940209,2778237.5178862,289.082070301
2015-03-12,296.29,297.95,289.0,295.31,7880.67396576,2320925.6464323,294.50852255991
2015-03-11,290.0,296.79,285.83,296.54,6737.50300267,1968122.2200735,292.11448503897
2015-03-10,287.12,296.8,283.96,290.0,13129.06090198,3822987.8030215,291.18516789307
2015-03-09,275.0,289.0,274.17,287.12,11996.31878526,3393640.0195673,282.89011656952
2015-03-08,276.71,277.57,271.12,275.0,4430.69079482,1216001.2462405,274.44958417367
2015-03-07,272.61,279.48,270.0,276.71,5716.65477613,1571766.9758088,274.94523237116
2015-03-06,273.46,276.46,269.0,272.68,6853.27991548,1868631.262523,272.66232892403
2015-03-05,270.72,280.5,262.2,273.09,11428.33845657,3088968.380921,270.29024321073
2015-03-04,281.03,283.88,264.94,270.78,14313.16689305,3941761.0154804,275.39405115122
2015-03-03,275.95,284.95,265.89,281.0,20977.32087667,5763892.9465521,274.76783047936
2015-03-02,257.95,277.0,255.61,274.93,18015.2597941,4790016.8345516,265.8866366235
2015-03-01,253.45,260.25,245.0,258.34,9678.17855999,2449261.4438056,253.07049550945
2015-02-28,252.29,254.56,245.2,253.47,5626.62832387,1412930.802723,251.11500554051
2015-02-27,236.83,256.15,236.16,252.78,22012.00337072,5507409.5341456,250.20028578915
2015-02-26,237.99,238.55,234.01,236.84,5492.00801445,1298613.3127376,236.45510154406
2015-02-25,239.53,240.98,236.0,237.97,3810.53504108,907834.23133736,238.24324446577
2015-02-24,239.63,240.97,236.07,239.55,5144.11355689,1229421.648626,238.99582212358
2015-02-23,236.46,241.0,232.05,239.65,6327.72647507,1496364.7694268,236.47747343729
2015-02-22,245.84,247.42,232.48,236.5,7751.74971592,1843120.1179439,237.76826980864
2015-02-21,245.0,247.8,244.0,245.41,2982.21200485,732440.42555665,245.60307059508
2015-02-20,240.61,249.32,239.41,245.48,9342.68925514,2290057.5629231,245.11759948166
2015-02-19,237.37,245.01,235.59,240.59,8704.33972786,2090012.917531,240.11159753354
2015-02-18,244.6,247.0,232.01,237.37,12821.91161908,3064757.5808848,239.02501217716
2015-02-17,234.69,248.78,232.01,244.7,13121.54112887,3166380.8633579,241.31165937446
2015-02-16,235.61,241.23,229.2,234.7,12394.82940626,2925051.2884949,235.98963669621
2015-02-15,256.81,267.92,227.75,235.63,29173.27099242,7227263.0121816,247.73577889365
2015-02-14,237.0,259.31,236.9,256.99,19824.7530547,4942602.4303744,249.31470352931
2015-02-13,223.02,242.35,221.37,237.0,21412.45902435,5014286.3536417,234.17610970976
2015-02-12,219.57,223.09,218.01,223.0,6964.60636718,1540080.483971,221.12958044958
2015-02-11,220.42,223.43,217.99,219.55,10676.2930765,2361490.2451279,221.19009174878
2015-02-10,220.91,222.0,215.0,220.42,6882.64684416,1504640.6379111,218.61366302525
2015-02-09,223.92,225.99,215.0,220.9,19473.95664749,4275773.1061804,219.56365537722
2015-02-08,228.78,232.89,217.28,223.88,13775.00949471,3096894.5526196,224.81977626287
2015-02-07,223.44,231.14,221.77,228.3,9663.67430958,2194651.3564007,227.10319968306
2015-02-06,216.46,225.86,210.59,223.37,10951.78709403,2404228.184483,219.52838964462
2015-02-05,226.93,229.0,210.43,216.81,12982.78595784,2852443.5938226,219.70966810095
2015-02-04,227.94,231.0,220.02,227.0,14983.46398269,3372160.1167933,225.05877951113
2015-02-03,238.38,244.39,223.79,227.99,17499.53324051,4116764.1507592,235.24994033723
2015-02-02,226.93,241.98,221.79,238.47,15612.79489965,3578794.0122639,229.2218680426
2015-02-01,218.04,233.0,208.48,226.93,18408.25262142,4078716.7355525,221.57001098554
2015-01-31,228.96,234.8,215.75,216.9,19208.27905286,4374363.5111156,227.73323414749
2015-01-30,235.12,244.98,225.52,228.98,20614.83694356,4831205.3038529,234.35573694228
2015-01-29,236.07,242.18,220.0,235.79,26012.16941088,6035005.4306388,232.00700161957
2015-01-28,263.97,266.45,225.91,236.07,28092.33473262,6890538.5406672,245.28180396006
2015-01-27,274.76,278.51,243.1,263.98,21159.82627628,5464232.2775842,258.23615970369
2015-01-26,254.67,309.9,254.67,274.8,55829.61359418,15755918.684537,282.21436026882
2015-01-25,249.33,257.0,241.33,255.31,28760.92842785,7179902.2215808,249.64083616397
2015-01-24,233.42,249.99,230.03,249.19,13793.77647935,3338886.0740159,242.05742923371
2015-01-23,234.08,240.0,225.55,233.64,15268.26848621,3544720.2807871,232.1625588382
2015-01-22,227.75,239.0,226.01,234.08,25405.32961321,5911624.8960556,232.69231244226
2015-01-21,211.94,228.9,205.0,227.16,23160.65691071,5023355.4319279,216.89175101095
2015-01-20,216.01,216.81,201.98,210.65,14129.24018574,2974516.458794,210.52203938015
2015-01-19,211.8,220.94,207.7,216.34,13037.39910942,2781606.6569582,213.35594880643
2015-01-18,199.69,222.0,195.02,211.85,18205.18036191,3818886.2773269,209.76920862135
2015-01-17,208.02,212.84,192.17,199.69,19121.88947943,3838117.3515428,200.71851977137
2015-01-16,210.69,223.15,198.04,208.03,34723.34835252,7316818.6820895,210.71754393634
2015-01-15,172.0,233.9,168.5,210.98,83488.41618527,17311108.423621,207.34742871642
2015-01-14,227.01,230.89,152.4,171.41,124188.88508262,23576265.193393,189.84199091332
2015-01-13,267.1,268.15,216.0,227.0,60556.16271657,14289366.806288,235.9688290219
2015-01-12,266.34,272.43,263.54,267.42,10478.25021362,2823903.1106514,269.50140081412
2015-01-11,275.6,280.94,262.08,266.39,12758.94904418,3480736.9795365,272.80749907252
2015-01-10,293.89,295.0,271.03,275.59,29448.7778452,8367179.2556753,284.12653658016
2015-01-09,272.45,305.0,272.45,293.97,9914.24959431,2898085.3910969,292.31515340911
2015-01-05,264.55,280.0,264.07,276.8,9528.27100203,2596897.8708781,272.54660056633
2015-01-04,280.0,289.39,255.0,264.0,41441.27855287,11266762.63139,271.87294950411
2015-01-03,315.42,316.58,280.0,282.0,21752.71914628,6475951.8703045,297.70769469121
2015-01-02,313.82,317.01,311.96,315.42,3468.28137523,1092445.6806973,314.9818490793
2015-01-01,321.0,321.0,312.6,313.81,3087.43655395,974509.57823622,315.63711875777
2014-12-31,311.1,321.0,310.69,321.0,6338.20111979,2002286.3888682,315.90767648827
2014-12-30,313.36,316.77,310.0,311.07,8885.65978227,2777323.3855223,312.56242682891
2014-12-29,317.64,320.14,310.26,313.01,6929.62620397,2179989.7727234,314.58980738016
2014-12-28,316.48,319.56,311.22,317.64,4121.07585359,1299017.9765886,315.2133138867
2014-12-27,329.31,329.31,311.63,316.47,8687.53555717,2761873.3089363,317.91217322349
2014-12-26,319.85,332.0,316.64,328.27,6406.26442873,2086629.6872542,325.71707123052
2014-12-25,323.03,323.72,316.63,319.86,3888.24814964,1242750.8713988,319.61717039943
2014-12-24,336.9,336.9,320.92,323.06,5884.87599768,1936038.2798466,328.98539928621
2014-12-23,332.52,338.99,327.49,336.92,7679.77400906,2563296.1011877,333.77233472804
2014-12-22,320.88,333.99,319.9,331.56,11812.76642619,3877621.7185658,328.25686876942
2014-12-21,331.77,332.31,318.78,320.01,6358.0824846,2062985.8248807,324.46666583479
2014-12-20,318.58,333.0,316.52,331.79,11378.8885085,3695215.8302624,324.7431264927
2014-12-19,312.65,320.0,307.11,318.33,15995.61891376,5011565.2899036,313.30862012427
2014-12-18,321.96,325.61,304.99,312.67,21603.61278539,6776835.3250096,313.68990882824
2014-12-17,329.05,335.99,315.23,322.0,22891.99364168,7391844.7802587,322.90087512518
2014-12-16,348.85,349.35,327.34,329.05,18183.37192451,6139498.8737018,337.64358443477
2014-12-15,357.3,357.3,346.21,349.0,8092.84138056,2839870.561863,350.9114325019
2014-12-14,351.67,359.3,347.44,356.52,6538.8930965,2314586.5047995,353.97221986066
2014-12-13,353.33,354.41,347.03,351.67,3845.24282719,1346557.2579782,350.18783429141
2014-12-12,348.88,358.59,348.0,352.24,8079.63021756,2860769.8605338,354.07187996257
2014-12-11,345.22,364.43,339.8,348.9,16159.74714638,5712842.5804573,353.52301794752
2014-12-10,352.02,353.74,345.0,345.21,6964.18847778,2437132.7157365,349.95214783639
2014-12-09,362.74,364.59,343.97,352.03,19034.12180696,6685314.6841756,351.22790281458
2014-12-08,376.03,377.26,359.01,361.3,12336.72926731,4528582.666444,367.08130399229
2014-12-07,375.05,377.5,373.16,377.26,2490.66834657,936741.11426271,376.10030076977
2014-12-06,376.0,376.99,371.31,374.38,2386.1287834,894008.22581364,374.66889131599
2014-12-05,369.89,377.89,365.61,376.0,8600.51463149,3203112.9182213,372.43270379349
2014-12-04,376.61,378.99,360.0,369.16,12332.87330712,4546438.850339,368.64392726019
2014-12-03,379.52,383.0,374.01,375.33,8457.23114708,3204081.6133939,378.85704643419
2014-12-02,376.53,382.86,375.23,379.52,6550.77898256,2487514.3970657,379.72802985541
2014-12-01,376.09,382.31,373.03,376.53,6937.82496739,2625160.477487,378.38378595974
2014-11-30,375.48,381.99,373.32,377.01,3085.29878738,1160359.5872363,376.09310060423
2014-11-29,376.0,386.6,372.25,375.49,7252.09196527,2748569.5815636,379.00368538161
2014-11-28,369.98,381.34,358.0,376.86,13791.86724228,5100953.8419386,369.8523015289
2014-11-27,368.5,375.33,366.37,369.98,6218.38973362,2307892.3788746,371.13987346223
2014-11-26,377.05,379.22,363.38,368.5,13021.29404586,4825575.6115157,370.59109444272
2014-11-25,375.99,395.11,374.31,377.37,16156.69521149,6195698.415206,383.47560154504
2014-11-24,367.17,389.99,366.67,375.99,19079.67673317,7206180.9149948,377.68883696373
2014-11-23,354.29,373.5,353.01,367.17,7971.8468309,2896321.7954901,363.31879637521
2014-11-22,351.19,365.93,350.7,353.12,6705.69768625,2407839.6407234,359.07369424969
